logLik,epsilon_neg_L1,epsilon_pos_L1,lambda,mu,diffusion_coef,tau_s,tau_l,epsilon_neg_accept,epsilon_pos_accept,lambda_accept,mu_accept,diffusion_coef_accept,tau_s_accept,tau_l_accept,change_k_accept,switch_anc_accept,add_anc_accept,make_founder_accept,make_orphan_accept
-768.721,0.828419,0,0.5,0.05,23.2983,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.503132,0,0,-nan
-758.277,0.950695,0,0.5,0.05,17.6178,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99786,-nan,-nan,-nan,0.512185,0.00506329,0.000807754,-nan
-756.092,0.950695,0,0.5,0.05,17.6103,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.514442,0,0,-nan
-769.989,0.0107627,0,0.5,0.05,14.5357,1,2.06115e-09,-nan,-nan,-nan,-nan,0.994025,-nan,-nan,-nan,0.506782,0.00153846,0.00039185,-nan
-757.726,0.252601,0,0.5,0.05,19.6756,1,2.06115e-09,-nan,-nan,-nan,-nan,0.999529,-nan,-nan,-nan,0.522069,0.00780572,0.00215112,-nan
-757.176,0.252601,0,0.5,0.05,19.9537,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.527347,0,0,-nan
-767.952,0.533369,0,0.5,0.05,10.4707,1,2.06115e-09,-nan,-nan,-nan,-nan,0.989358,-nan,-nan,-nan,0.508698,0.00436443,0.00170321,-nan
-760.115,0.950695,0,0.5,0.05,20.3454,1,2.06115e-09,-nan,-nan,-nan,-nan,0.998242,-nan,-nan,-nan,0.507561,0.00479616,0.00120409,-nan
-765.508,0.0107627,0,0.5,0.05,13.1288,1,2.06115e-09,-nan,-nan,-nan,-nan,0.99266,-nan,-nan,-nan,0.521258,0.00421053,0.00123839,-nan
-759.002,0.43184,0,0.5,0.05,13.564,1,2.06115e-09,-nan,-nan,-nan,-nan,0.993251,-nan,-nan,-nan,0.512142,0.0031746,0.000946372,-nan
-771.378,0.0107627,0,0.5,0.05,13.2407,1,2.06115e-09,-nan,-nan,-nan,-nan,0.997203,-nan,-nan,-nan,0.517327,0.00578035,0.00145349,-nan
-763.329,0.828419,0,0.5,0.05,23.5355,1,2.06115e-09,-nan,-nan,-nan,-nan,1,-nan,-nan,-nan,0.517827,0.00107181,0.000278707,-nan
